request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. The 90-day forecast remains above the IDR 24768300 minimum balance. Projected minimum balance: IDR 41100280.82.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. The 90-day forecast remains above the ZAR 20500 minimum balance. Projected minimum balance: ZAR 55336.47.
request_28,425.26,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,Wait until 2024-07-15 and then pay EUR 1302.4 in full. Paying earlier would put the EUR 1100 minimum balance at risk.
request_29,26204.55,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 28300 minimum balance protected.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use 3 installments of USD 268.74 starting 2026-04-06. The verified schedule keeps the USD 900 minimum protected. Financing cost is USD 31.02. Projected minimum balance: USD 1193.45.
request_31,5907921.93,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,Wait until 2024-10-15 and then pay IDR 18164000 in full. Paying earlier would put the IDR 16588900 minimum balance at risk.
request_32,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 35700 minimum balance protected.
request_33,45129.16,affordable_later,wait,2026-01-15:118000,2026-01-15,none,Wait until 2026-01-15 and then pay INR 118000 in full. Paying earlier would put the INR 102100 minimum balance at risk.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. The 90-day forecast remains above the INR 138500 minimum balance. Projected minimum balance: INR 198350.71.
request_35,56140.39,affordable_later,wait,2025-12-15:212000,2025-12-15,none,Wait until 2025-12-15 and then pay INR 212000 in full. Paying earlier would put the INR 106400 minimum balance at risk.
request_36,746.81,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Wait until 2026-09-15 and then pay USD 3954 in full. Paying earlier would put the USD 2400 minimum balance at risk.
request_37,6737130.82,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,Wait until 2024-03-15 and then pay IDR 14649000 in full. Paying earlier would put the IDR 17056200 minimum balance at risk.
request_38,214.75,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Wait until 2025-09-15 and then pay EUR 971.3 in full. Paying earlier would put the EUR 400 minimum balance at risk.
request_39,82378.32,affordable_later,wait,2026-05-15:208600,2026-05-15,none,Wait until 2026-05-15 and then pay INR 208600 in full. Paying earlier would put the INR 213400 minimum balance at risk.
request_40,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 1500 minimum balance protected.
request_41,13105801.90,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,Wait until 2025-12-15 and then pay IDR 38760000 in full. Paying earlier would put the IDR 25366600 minimum balance at risk.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. The 90-day forecast remains above the INR 113100 minimum balance. Projected minimum balance: INR 179081.74.
request_43,8314458.79,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Wait until 2024-11-15 and then pay IDR 43339000 in full. Paying earlier would put the IDR 21398000 minimum balance at risk.
request_44,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 82900 minimum balance protected.
request_45,5072824.97,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Wait until 2026-09-15 and then pay IDR 21983000 in full. Paying earlier would put the IDR 11149800 minimum balance at risk.
request_46,46957.69,affordable_with_plan,partial_payment,2024-12-03:46957.69|2024-12-15:2492.31,2024-12-15,none,Pay INR 46957.69 today and INR 2492.31 on 2024-12-15. The verified schedule keeps the INR 84000 minimum protected. Projected minimum balance: INR 84000.00.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. The 90-day forecast remains above the IDR 30049000 minimum balance. Projected minimum balance: IDR 33786345.91.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. The 90-day forecast remains above the INR 71300 minimum balance. Projected minimum balance: INR 99939.64.
